"Table S1: Posterior means, lower and upper limits of the credible interval (CI -, CI +) of the log of the mean number of recruits (a), the light effect",,,,,,,,,,,,
"(b), the clustering parameter of the binomial distribution (c), and the light level at which recruitment falls to 50% of recruitment at 20% light",,,,,,,,,,,,
"(Light50) for two census intervals (1985-1990, 1990-1995) and tree species in the 50-ha Forest Dynamics Plot at Barro Colorado Island, Panama.",,,,,,,,,,,,
Dashes indicate no recruitment in the respective census interval.,,,,,,,,,,,,
Species,,,,,,Parameters,,,,,,
,,,a,,,,,,b,,,
,,1985-1990,,,1990-1995,,,1985-1990,,,1990-1995,
,mean,CI -,CI +,mean,CI -,CI +,mean,CI -,CI +,mean,CI -,CI +
Acacia melanoceras,-3.69,-4.12,-3.3,-4.18,-4.91,-3.58,-0.34,-1.37,0.79,0.47,-0.74,1.74
Acalypha diversifolia,-2.08,-2.16,-2,-2.23,-2.32,-2.13,1.17,0.88,1.43,1.1,0.76,1.44
Acalypha macrostachya,-3.38,-3.67,-3.08,-3.28,-3.66,-2.95,1.23,0.46,2.06,1.45,0.39,2.42
Adelia triloba,-3.03,-3.28,-2.79,-3.69,-4.13,-3.26,1.87,1.17,2.66,1.16,0.19,2.24
Aegiphila panamensis,-3.74,-4.22,-3.35,-3.75,-4.18,-3.33,1.05,-0.01,2.01,1.52,0.56,2.5
Alchornea costaricensis,-3.2,-3.46,-2.97,-3.65,-4.1,-3.23,1.85,1.29,2.42,2.24,1.23,3.23
Alchornea latifolia,-4.17,-4.86,-3.54,-,-,-,0.32,-0.88,1.53,-,-,-
Alibertia edulis,-2.49,-2.62,-2.37,-2.76,-2.93,-2.61,0.41,-0.02,0.82,0.85,0.35,1.37
Allophylus psilospermus,-3.09,-3.32,-2.87,-3.5,-3.86,-3.17,0.65,-0.04,1.35,0.83,-0.08,1.76
Alseis blackiana,-1.24,-1.27,-1.21,-1.54,-1.58,-1.49,0.87,0.76,0.99,1.11,0.97,1.27
Anaxagorea panamensis,-2.61,-2.82,-2.38,-2.3,-2.5,-2.11,3.11,2.22,3.97,1.84,1.06,2.71
Andira inermis,-2.95,-3.15,-2.76,-3.69,-4.13,-3.25,0.4,-0.25,1.06,-0.02,-1.16,1.01
Annona acuminata,-2.44,-2.57,-2.33,-2.54,-2.67,-2.42,1.64,1.32,1.97,1.1,0.7,1.49
Annona spraguei,-2.59,-2.73,-2.45,-2.6,-2.75,-2.47,1.91,1.45,2.38,1.82,1.42,2.25
Apeiba membranacea,-3.55,-3.93,-3.19,-3.83,-4.32,-3.38,1.82,1.01,2.61,1.27,0.22,2.28
Apeiba tibourbou,-3.91,-4.46,-3.41,-3.97,-4.55,-3.45,1.35,0.27,2.52,1.07,0,2.18
Aphelandra sinclairiana,-3.99,-4.52,-3.4,-3.98,-4.53,-3.41,0.86,-0.29,1.97,1.2,0.01,2.3
Appunia seibertii,-3.98,-4.52,-3.44,-,-,-,0.76,-0.42,1.97,-,-,-
Ardisia bartlettii,-,-,-,-4.17,-4.94,-3.57,-,-,-,0.79,-0.49,1.9
Ardisia fendleri,-3.51,-3.84,-3.16,-3.37,-3.69,-3.06,-0.19,-1.08,0.77,-0.72,-1.58,0.14
Ardisia guianensis,-4.13,-4.66,-3.61,-3.73,-4.18,-3.33,2.68,1.85,3.63,1.37,0.28,2.27
Aspidosperma spruceanum,-2.66,-2.79,-2.53,-2.85,-3.02,-2.67,0.36,-0.1,0.87,0.34,-0.24,0.93
Astrocaryum standleyanum,-3.37,-3.69,-3.09,-,-,-,0.24,-0.68,1.17,-,-,-
Astronium graveolens,-3.5,-3.91,-3.13,-3.3,-3.6,-3.05,1.42,0.53,2.57,1.18,0.42,1.96
Attalea butyracea,-4.2,-4.89,-3.57,-,-,-,0.36,-0.83,1.69,-,-,-
Bactris barronis,-3.95,-4.5,-3.42,-,-,-,0,-1.33,1.07,-,-,-
Bactris coloradonis,-4.21,-4.89,-3.52,-,-,-,0.46,-0.81,1.69,-,-,-
Bactris major,-2.88,-3.09,-2.69,-3.33,-3.63,-3.03,1.24,0.6,1.86,-0.06,-0.94,0.78
Banara guianensis,-3.86,-4.34,-3.37,-4.18,-4.85,-3.52,1.04,0.04,2.25,0.7,-0.6,1.84
Beilschmiedia pendula,-1.67,-1.72,-1.61,-1.96,-2.03,-1.9,0.07,-0.1,0.27,-0.07,-0.31,0.15
Brosimum alicastrum,-2.54,-2.66,-2.43,-2.85,-3.05,-2.68,0.11,-0.3,0.56,-0.3,-0.87,0.29
Calophyllum longifolium,-1.96,-2.04,-1.89,-2,-2.07,-1.92,0.29,0.01,0.59,0.37,0.13,0.65
Capparis frondosa,-1.92,-1.98,-1.86,-2.31,-2.41,-2.22,0.24,0.02,0.45,-0.01,-0.34,0.35
Casearia aculeata,-2.36,-2.46,-2.27,-2.62,-2.75,-2.48,0.76,0.43,1.07,0.89,0.41,1.29
Casearia arborea,-3.34,-3.66,-3.07,-3.36,-3.66,-3.06,1.48,0.76,2.19,1.28,0.47,2.11
Casearia guianensis,-3.95,-4.55,-3.43,-3.95,-4.47,-3.44,0.03,-1.14,1.16,0.71,-0.4,1.97
Casearia sylvestris,-3.01,-3.23,-2.81,-3.18,-3.42,-2.93,1.05,0.42,1.7,0.3,-0.47,1.07
Cassipourea elliptica,-2.14,-2.22,-2.06,-2.34,-2.44,-2.25,0.57,0.28,0.85,0.5,0.16,0.87
Cavanillesia platanifolia,-4.2,-4.91,-3.57,-4.17,-4.9,-3.58,0.56,-0.79,1.71,0.72,-0.56,1.86
Cecropia insignis,-2.85,-3.04,-2.66,-2.49,-2.64,-2.36,2.94,2.4,3.46,2.16,1.65,2.69
Cecropia longipes,-,-,-,-4.21,-4.97,-3.64,-,-,-,1.31,0.11,2.52
Cecropia obtusifolia,-3.13,-3.36,-2.87,-3.03,-3.25,-2.82,2.11,1.48,2.87,1.79,1.26,2.35
Cedrela odorata,-3.44,-3.79,-3.13,-,-,-,0.46,-0.45,1.32,-,-,-
Ceiba pentandra,-3.53,-3.91,-3.2,-4.01,-4.6,-3.49,0.59,-0.42,1.56,1.42,0.21,2.5
Celtis schippii,-3.69,-4.07,-3.24,-4.18,-4.93,-3.54,0.07,-1.04,1.08,0.78,-0.43,1.97
Cespedesia spathulata,-4.18,-4.9,-3.6,-,-,-,0.14,-1.11,1.45,-,-,-
Cestrum megalophyllum,-2.74,-2.9,-2.59,-3.36,-3.7,-3.06,0.77,0.27,1.28,0.76,-0.05,1.61
Chamaedorea tepejilote,-3.69,-4.11,-3.26,-3.8,-4.29,-3.32,0.45,-0.5,1.53,0.86,-0.07,1.98
Chamguava schippii,-2.63,-2.77,-2.48,-2.59,-2.74,-2.45,1.77,1.32,2.2,1.51,1.04,2
Chrysochlamys eclipes,-3.07,-3.28,-2.87,-3.11,-3.34,-2.89,-0.12,-0.84,0.59,0.72,0,1.44
Chrysophyllum argenteum,-1.99,-2.06,-1.92,-2.37,-2.48,-2.28,0.84,0.6,1.07,1.03,0.67,1.35
Chrysophyllum cainito,-2.83,-3,-2.66,-2.85,-3.02,-2.68,1.23,0.71,1.71,1.3,0.74,1.81
